year;id_mother;id_lamb;num_siblings;gender;saft;weight_spring;date_spring;weight_fall_I;date_fall_I;weight_fall_II;date_fall_II;weight_slaugther;slaugther_class;;;;;;;;;;;
2004;19;4005;2;V;s;25;38160;52;38242;;38285;25;8;;;;;;;;;;;
2004;26;4016;2;V;s;22;38160;40;38242;53;38285;19.9;7;;;;;;;;;;;
2004;26;4017;2;S;f;16;38160;32;38242;39;38285;18.1;5;;;;;;;;;;;
2004;32;4011;2;S;s;19;38160;40;38242;50;38285;20.3;8;;;;;;;;;;;
2004;32;4012;2;S;a;22;38160;45;38242;56;38285;;;;;;;;;;;;;
2004;709;4018;2;S;s;17;38160;34;38242;44;38285;16.2;5;;;;;;;;;;;
2004;709;4019;2;V;s;23;38160;45;38242;;38285;20;5;;;;;;;;;;;
2004;736;4006;3;S;f;17;38160;31;38242;37.5;38285;17.2;5;;;;;;;;;;;
2004;736;4007;3;V;s;20;38160;38;38242;47;38285;18.1;5;;;;;;;;;;;
2004;736;4008;3;V;s;17;38160;34;38242;45;38285;15.8;3;;;;;;;;;;;
2004;739;4027;2;V;s;19;38160;39;38242;55;38285;22.3;7;;;;;;;;;;;
2004;739;4028;2;S;t;18;38160;;38242;;38285;;;;;;;;;;;;;
2004;758;4042;2;S;a;19;38160;39;38242;54;38285;;;;;;;;;;;;;
2004;758;4043;2;S;a;20;38160;41;38242;53;38285;;;;;;;;;;;;;
2004;765;4022;1;S;s;20;38160;40;38242;48;38285;18;6;;;;;;;;;;;
2004;1039;4032;1;S;a;23;38160;44;38242;56;38285;;;;;;;;;;;;;
2004;1044;4030;2;S;a;23;38160;46;38242;59;38285;;;;;;;;;;;;;
2004;1044;4031;2;S;a;20;38160;40;38242;53;38285;;;;;;;;;;;;;
2004;1048;4035;2;V;s;21;38160;45;38242;;38285;19.3;6;;;;;;;;;;;
2004;1048;4036;2;S;a;19;38160;40;38242;54;38285;;;;;;;;;;;;;
2004;1052;4049;2;S;s;19;38160;37;38242;49;38285;19.1;7;;;;;;;;;;;
2004;1052;4050;2;S;s;17;38160;37;38242;48;38285;18.2;7;;;;;;;;;;;
2004;1056;4013;1;V;s;19;38160;38;38242;48;38285;18.8;6;;;;;;;;;;;
2004;1075;4039;2;V;s;25;38160;54;38242;;38285;24.3;6;;;;;;;;;;;
2004;1075;4040;2;S;s;19;38160;36;38242;47;38285;17.5;6;;;;;;;;;;;
2004;1081;4045;1;V;s;26;38160;56;38242;;38285;26.1;6;;;;;;;;;;;
2004;1082;4054;1;V;s;17;38160;40;38242;55;38285;20.7;6;;;;;;;;;;;
2004;2102;4041;1;S;s;19;38160;37;38242;50;38285;18.7;6;;;;;;;;;;;
2004;2104;4001;2;V;s;23;38160;43;38242;55;38285;21.5;6;;;;;;;;;;;
2004;2104;4055;2;S;a;22;38160;41;38242;51;38285;;;;;;;;;;;;;
2004;2105;4023;2;V;s;21;38160;46;38242;;38285;21.4;5;;;;;;;;;;;
2004;2105;4024;2;S;a;20;38160;40;38242;53;38285;;;;;;;;;;;;;
2004;2108;4025;2;V;s;17;38160;38;38242;49;38285;18.9;5;;;;;;;;;;;
2004;2108;4026;2;V;s;16;38160;35;38242;47;38285;17.8;6;;;;;;;;;;;
2004;2109;4052;2;S;a;17;38160;38;38242;53;38285;;;;;;;;;;;;;
2004;2109;4053;2;V;s;18;38160;39;38242;55;38285;21.8;8;;;;;;;;;;;
2004;2113;4009;2;V;s;21;38160;43;38242;61;38285;21.4;6;;;;;;;;;;;
2004;2113;4010;2;V;s;22;38160;42;38242;57;38285;20.9;7;;;;;;;;;;;
2004;2122;4033;2;V;s;12;38160;25;38242;35;38285;13.4;3;;;;;;;;;;;
2004;2122;4034;2;S;s;16;38160;35;38242;44;38285;17.4;6;;;;;;;;;;;
2004;2123;4020;2;V;s;23;38160;50;38242;;38285;21.7;7;;;;;;;;;;;
2004;2123;4021;2;S;a;19;38160;42;38242;54;38285;;;;;;;;;;;;;
2004;2143;4014;2;S;f;13;38160;31;38242;40;38285;17.2;5;;;;;;;;;;;
2004;2143;4015;2;V;s;26;38160;48;38242;;38285;21.9;5;;;;;;;;;;;
2004;3171;4029;1;V;s;20;38160;43;38242;54;38285;20.2;5;;;;;;;;;;;
2004;3161;4051;1;S;a;18;38160;44;38242;58;38285;;;;;;;;;;;;;
2004;3163;4044;1;S;a;23;38160;43;38242;53;38285;;;;;;;;;;;;;
2004;3179;4037;2;S;f;9;38160;25;38242;31;38285;15.1;4;;;;;;;;;;;
2004;3179;4038;2;V;s;10;38160;27;38242;37;38285;14;3;;;;;;;;;;;
2004;3189;4048;1;V;s;20;38160;34;38242;49;38285;17.4;5;;;;;;;;;;;
2004;3196;4047;1;V;s;17;38160;35;38242;45;38285;17.6;4;;;;;;;;;;;
2004;3204;4046;1;S;a;20;38160;40;38242;50;38285;;;;;;;;;;;;;
2005;19;5011;1;V;a;22;38530;62;38612;70;38634;;;;;;;;;;;;;
2005;32;5045;2;V;s;20;38530;43;38612;51;38634;17.9;6;;;;;;;;;;;
2005;32;5047;2;V;s;19;38530;44;38612;52;38634;20.5;8;;;;;;;;;;;
2005;1039;5001;2;V;s;24;38530;46;38612;52;38634;20.6;7;;;;;;;;;;;
2005;1039;5002;2;V;s;25;38530;44;38612;52;38634;20.7;7;;;;;;;;;;;
2005;1044;5042;2;V;s;18;38530;40;38612;49;38634;18.9;7;;;;;;;;;;;
2005;1044;5043;2;V;s;23;38530;47;38612;55;38634;23.4;8;;;;;;;;;;;
2005;1048;5040;2;S;a;22;38530;40;38612;46;38634;;;;;;;;;;;;;
2005;1048;5041;2;V;s;21;38530;46;38612;54;38634;20.4;7;;;;;;;;;;;
2005;1052;5004;2;V;s;25;38530;43;38612;53;38634;21;7;;;;;;;;;;;
2005;1052;5005;2;V;s;26;38530;48;38612;55;38634;22.2;8;;;;;;;;;;;
2005;1082;5058;2;V;s;18;38530;41;38612;51;38634;19.9;6;;;;;;;;;;;
2005;1082;5059;2;V;s;22;38530;48;38612;55;38634;21.2;7;;;;;;;;;;;
2005;2104;5029;2;S;a;23;38530;40;38612;46;38634;;;;;;;;;;;;;
2005;2104;5030;2;S;s;20;38530;39;38612;46;38634;17.9;7;;;;;;;;;;;
2005;2105;5035;2;S;a;19;38530;40;38612;46;38634;;;;;;;;;;;;;
2005;2105;5037;2;S;s;18;38530;36;38612;43;38634;16.5;5;;;;;;;;;;;
2005;2113;5016;2;S;a;25;38530;44;38612;52;38634;;;;;;;;;;;;;
2005;2113;5017;2;V;s;23;38530;44;38612;54;38634;21.4;7;;;;;;;;;;;
2005;2122;5033;2;V;s;19;38530;39;38612;50;38634;17.7;5;;;;;;;;;;;
2005;2122;5034;2;V;s;23;38530;46;38612;55;38634;21.3;7;;;;;;;;;;;
2005;2123;5006;2;S;a;18;38530;39;38612;44;38634;;;;;;;;;;;;;
2005;2123;5007;2;V;s;27;38530;48;38612;56;38634;21.9;6;;;;;;;;;;;
2005;2143;5003;2;S;a;21;38530;40;38612;44;38634;;;;;;;;;;;;;
2005;2143;5009;2;V;s;24;38530;44;38612;50;38634;19.5;7;;;;;;;;;;;
2005;3163;5038;2;S;s;16;38530;36;38612;42;38634;16.6;5;;;;;;;;;;;
2005;3163;5039;2;S;a;20;38530;40;38612;46;38634;;;;;;;;;;;;;
2005;3173;5013;2;V;s;23;38530;44;38612;50;38634;17.5;5;;;;;;;;;;;
2005;3173;5014;2;V;s;22;38530;45;38612;50;38634;18.3;6;;;;;;;;;;;
2005;3196;5048;2;V;s;16;38530;38;38612;46;38634;17.4;5;;;;;;;;;;;
2005;3196;5049;2;V;s;15;38530;36;38612;44;38634;15.6;4;;;;;;;;;;;
2005;3204;5044;1;V;s;19;38530;47;38612;56;38634;22.5;7;;;;;;;;;;;
2005;4012;5019;2;S;s;17;38530;38;38612;43;38634;16.7;6;;;;;;;;;;;
2005;4012;5020;2;S;a;19;38530;38;38612;45;38634;;;;;;;;;;;;;
2005;4021;5023;2;S;a;16;38530;38;38612;43;38634;;;;;;;;;;;;;
2005;4021;5024;2;S;s;16;38530;34;38612;37;38634;13.4;3;;;;;;;;;;;
2005;4024;5031;1;S;a;24;38530;41;38612;46;38634;;;;;;;;;;;;;
2005;4030;5015;1;V;s;25;38530;47;38612;55;38634;21;7;;;;;;;;;;;
2005;4031;5025;1;S;s;21;38530;43;38612;48;38634;19.2;8;;;;;;;;;;;
2005;4032;5021;2;V;s;17;38530;36;38612;44;38634;15.6;5;;;;;;;;;;;
2005;4032;5022;2;V;s;18;38530;39;38612;47;38634;17.5;6;;;;;;;;;;;
2005;4036;5032;1;V;s;19;38530;43;38612;52;38634;18.4;7;;;;;;;;;;;
2005;4042;5028;1;S;s;23;38530;38;38612;45;38634;17.2;6;;;;;;;;;;;
2005;4044;5012;1;V;s;24;38530;48;38612;56;38634;21.9;7;;;;;;;;;;;
2005;4051;5010;1;S;a;25;38530;44;38612;49;38634;;;;;;;;;;;;;
2005;4052;5026;2;S;s;18;38530;34;38612;42;38634;15.7;5;;;;;;;;;;;
2005;4052;5027;2;S;a;16;38530;40;38612;43;38634;;;;;;;;;;;;;
2005;4055;5018;1;V;s;24;38530;44;38612;52;38634;19.9;7;;;;;;;;;;;
2006;19;6036;2;V;s;19;38887;43;38970;50;40097;19.9;7;;;;;;;;;;;
2006;19;6038;2;V;s;20;38887;44;38970;54;40097;20.9;7;;;;;;;;;;;
